iter	Logloss
0	0.6761972725
1	0.6565075407
2	0.640648629
3	0.626258294
4	0.6186526112
5	0.6113723779
6	0.6044752742
7	0.5915317578
8	0.5856069341
9	0.5803423698
10	0.5749341353
11	0.5701521516
12	0.5655321789
13	0.5574769239
14	0.5530839464
15	0.5492949871
16	0.5446365698
17	0.5407872814
18	0.5363830154
19	0.5298544906
20	0.526389199
21	0.5226625982
22	0.5173210599
23	0.5142556048
24	0.5104488527
25	0.5075128996
26	0.5043456329
27	0.5018086446
28	0.4991095181
29	0.4965953246
30	0.4913994243
31	0.4884051527
32	0.4860558026
33	0.484077872
34	0.4822269963
35	0.4779312158
36	0.4760409429
37	0.4738304385
38	0.4716492277
39	0.4700572137
40	0.4680202881
41	0.4664435691
42	0.4643381678
43	0.4626173734
44	0.4594059586
45	0.4578460311
46	0.4562490228
47	0.4548757788
48	0.4534276556
49	0.4520336039
50	0.4505284111
51	0.4489265433
52	0.4476832476
53	0.446377792
54	0.4443511291
55	0.4428491305
56	0.4409367553
57	0.439567593
58	0.4381827068
59	0.4370152185
60	0.4360493678
61	0.4350123038
62	0.4336014588
63	0.4324173194
64	0.4311817123
65	0.4300701608
66	0.4289248112
67	0.4264434029
68	0.4249912673
69	0.4239016319
70	0.4227275612
71	0.421409125
72	0.4187755977
73	0.4167870501
74	0.4157077367
75	0.4145922378
76	0.4134066766
77	0.4124314694
78	0.4112925171
79	0.4101479939
80	0.4093292137
81	0.4083351421
82	0.4073879972
83	0.4064072869
84	0.4054911665
85	0.4044623018
86	0.403664066
87	0.4028153707
88	0.4017894135
89	0.4010655635
90	0.4001217417
91	0.3993003991
92	0.3984586072
93	0.3977709015
94	0.3969089018
95	0.3961190436
96	0.3953383586
97	0.3941984513
98	0.39319812
99	0.39238285
100	0.3915965517
101	0.3908644289
102	0.3900816859
103	0.3892693409
104	0.3884929187
105	0.3877101491
106	0.3868952981
107	0.3862359358
108	0.3854531804
109	0.3847048627
110	0.3841271692
111	0.3833321876
112	0.3823356027
113	0.3815725969
114	0.3800201469
115	0.3793542701
116	0.3787136838
117	0.3779950545
118	0.377273618
119	0.3767073734
120	0.3760917114
121	0.3752984279
122	0.3746058498
123	0.3740265594
124	0.3733244255
125	0.3726139126
126	0.371948584
127	0.3712490984
128	0.3706194806
129	0.3700178302
130	0.3691883656
131	0.3685171483
132	0.3677796009
133	0.3671825304
134	0.3664390891
135	0.365752472
136	0.3652342784
137	0.3647645037
138	0.3641230292
139	0.3635149474
140	0.3629755783
141	0.362302828
142	0.3616516279
143	0.361073324
144	0.3604463863
145	0.35987203
146	0.3593001821
147	0.3587971385
148	0.3582660214
149	0.3576822232
150	0.357192637
151	0.3566054509
152	0.3560973956
153	0.3554649315
154	0.354930384
155	0.3544992733
156	0.3538321549
157	0.353361279
158	0.3527696447
159	0.3521921198
160	0.3517580054
161	0.3510395017
162	0.3503808338
163	0.349908077
164	0.3495693032
165	0.3491012489
166	0.3486715813
167	0.3481874497
168	0.3476315591
169	0.347017895
170	0.3464291313
171	0.3458788405
172	0.3450477774
173	0.3445792157
174	0.3440646789
175	0.3435583842
176	0.3429972313
177	0.3424510936
178	0.3412716548
179	0.3408754694
180	0.3404725493
181	0.3399351874
182	0.3395851789
183	0.3391924481
184	0.3381843223
185	0.3377061815
186	0.337250979
187	0.3367498896
188	0.3355708616
189	0.3350902229
190	0.3347191548
191	0.3335105886
192	0.3331369245
193	0.332718003
194	0.3323460339
195	0.3317350268
196	0.3312699568
197	0.3305232852
198	0.3301020391
199	0.3295058969
200	0.329063102
201	0.3286320706
202	0.3281645717
203	0.3277752294
204	0.3273890965
205	0.3270164498
206	0.3265686335
207	0.326268483
208	0.3258126503
209	0.3254267228
210	0.3247843703
211	0.3242843983
212	0.3237712948
213	0.3233447239
214	0.3230605077
215	0.3227622275
216	0.3217679893
217	0.3213522985
218	0.3209438009
219	0.3206440611
220	0.3201820744
221	0.3197237137
222	0.3193596316
223	0.3190603448
224	0.3186407154
225	0.31830913
226	0.3179978117
227	0.3176443412
228	0.3171690426
229	0.3167963572
230	0.316418721
231	0.3160322256
232	0.3156701849
233	0.3153868602
234	0.3150374691
235	0.3145975444
236	0.3143541476
237	0.314013449
238	0.3137520573
239	0.3133533256
240	0.3129435845
241	0.3125712594
242	0.3121957525
243	0.3118541769
244	0.3114814877
245	0.311109547
246	0.3108187414
247	0.3105771349
248	0.3096882678
249	0.3093227182
250	0.3089828562
251	0.3086548853
252	0.3082880544
253	0.3078846078
254	0.307558795
255	0.3071810295
256	0.3068297858
257	0.306569117
258	0.3061901764
259	0.305891807
260	0.3055998022
261	0.3052750706
262	0.304950452
263	0.3045667896
264	0.3041969709
265	0.3038121413
266	0.3035326777
267	0.3032209427
268	0.3029501205
269	0.302570428
270	0.3021762629
271	0.3018468324
272	0.301496824
273	0.3011911659
274	0.3009717954
275	0.300394619
276	0.3001138576
277	0.299726776
278	0.2989051291
279	0.2985720931
280	0.2982705961
281	0.2979958706
282	0.2976054116
283	0.2972404751
284	0.2969318642
285	0.2966462725
286	0.2963490163
287	0.2960794157
288	0.2957908511
289	0.2954826864
290	0.2951809126
291	0.2948588115
292	0.2945585934
293	0.2942343604
294	0.2939717311
295	0.293665108
296	0.2933770794
297	0.2930476244
298	0.2927169369
299	0.2923639677
300	0.2920892782
301	0.2917287268
302	0.2914163814
303	0.29115581
304	0.2908351955
305	0.2904754172
306	0.2901475297
307	0.2898623462
308	0.2895067651
309	0.2892666233
310	0.2889899308
311	0.2887699518
312	0.2885197
313	0.2882215875
314	0.2879368078
315	0.2876546589
316	0.2873717888
317	0.2870971731
318	0.2868583433
319	0.2865013371
320	0.2862336471
321	0.2860199511
322	0.2857970206
323	0.2854943014
324	0.2852300389
325	0.284964901
326	0.2845838882
327	0.2843193456
328	0.2837677912
329	0.2834901094
330	0.2831242152
331	0.2828670182
332	0.2826024994
333	0.282358165
334	0.2819775603
335	0.2817264689
336	0.2813323172
337	0.2810345215
338	0.2806895325
339	0.2804548735
340	0.2801228769
341	0.2798340851
342	0.2795791304
343	0.2793093049
344	0.2790417073
345	0.2787754173
346	0.2785578865
347	0.2783386527
348	0.2780165071
349	0.2776003161
350	0.2771889205
351	0.2769705628
352	0.2767308184
353	0.2764527067
354	0.2762095289
355	0.2759650723
356	0.2756364338
357	0.2753577674
358	0.2750706413
359	0.2747709965
360	0.2745087782
361	0.2742152653
362	0.2740201552
363	0.2736819843
364	0.2734309529
365	0.2731771857
366	0.2728462748
367	0.2725776422
368	0.2722580957
369	0.2719235422
370	0.2716306066
371	0.2713567463
372	0.2707659228
373	0.2704787191
374	0.2701704188
375	0.2699029722
376	0.2696206636
377	0.2693885664
378	0.2691554012
379	0.2688780534
380	0.2686890238
381	0.2683484296
382	0.268042655
383	0.2678329222
384	0.2675650413
385	0.267429728
386	0.267088026
387	0.2668824513
388	0.2666149781
389	0.2663439992
390	0.2661279913
391	0.2658896973
392	0.2656754327
393	0.2654622604
394	0.2651102854
395	0.2647595746
396	0.2644519111
397	0.2641873422
398	0.2638558904
399	0.2635876514
400	0.2632855879
401	0.2631497316
402	0.262777559
403	0.2623972935
404	0.262265925
405	0.2620202068
406	0.261825914
