iter	Passed	Remaining
132	25809	168243
133	25993	167989
134	26180	167751
135	26360	167468
136	26546	167222
137	26729	166963
138	26911	166694
139	27092	166426
140	27275	166170
141	27458	165908
142	27643	165665
143	27825	165407
144	28009	165158
145	28195	164925
146	28377	164665
147	28559	164408
148	28740	164147
149	28925	163911
150	29111	163677
151	29296	163445
152	29477	163188
153	29663	162957
154	29849	162725
155	30034	162495
156	30216	162247
157	30405	162036
158	30590	161800
159	30777	161582
160	30960	161340
161	31142	161096
162	31325	160856
163	31512	160638
164	31694	160390
165	31882	160179
166	32067	159953
167	32250	159718
168	32439	159510
169	32620	159262
170	32803	159029
171	32993	158829
172	33177	158602
173	33366	158393
174	33549	158160
175	33730	157921
176	33926	157748
177	34111	157524
178	34310	157366
179	34492	157134
180	34678	156915
181	34865	156702
182	35050	156480
183	35231	156245
184	35418	156031
185	35605	155823
186	35792	155609
187	35976	155385
188	36159	155161
189	36339	154922
190	36583	154952
191	36772	154752
192	36985	154647
193	37228	154669
194	37410	154438
195	37596	154220
196	37781	154003
197	37977	153827
198	38162	153608
199	38345	153383
200	38530	153165
201	38712	152933
202	38904	152743
203	39089	152525
204	39278	152323
205	39462	152104
206	39652	151907
207	39834	151675
208	40022	151474
209	40205	151250
210	40391	151035
211	40575	150819
212	40761	150607
213	40945	150389
214	41131	150178
215	41315	149959
216	41507	149769
217	41692	149558
218	41873	149330
219	42064	149136
220	42247	148918
221	42432	148703
222	42620	148501
223	42803	148284
224	42985	148060
225	43168	147842
226	43353	147631
227	43536	147411
228	43722	147204
229	43906	146991
230	44095	146795
231	44287	146606
232	44468	146384
233	44654	146177
234	44843	145978
235	45035	145793
236	45219	145578
237	45401	145361
238	45585	145149
239	45783	144982
240	45968	144773
241	46149	144552
242	46333	144339
243	46516	144126
244	46703	143924
245	46889	143716
246	47078	143521
247	47270	143335
248	47458	143137
249	47642	142926
250	47828	142721
251	48014	142518
252	48198	142309
253	48383	142103
254	48566	141890
255	48754	141694
256	48935	141475
257	49118	141264
258	49303	141056
259	49489	140855
260	49670	140638
261	49853	140427
262	50037	140217
263	50220	140007
264	50405	139803
265	50589	139595
266	50772	139387
267	50952	139169
268	51133	138954
269	51317	138745
270	51503	138547
271	51687	138340
272	51871	138134
273	52054	137926
274	52239	137721
275	52421	137511
276	52604	137302
277	52784	137087
278	52970	136887
279	53155	136685
280	53338	136477
281	53523	136276
282	53703	136062
283	53887	135856
284	54069	135647
285	54250	135435
286	54429	135220
287	54611	135011
288	54791	134799
289	54975	134594
290	55154	134380
291	55335	134169
292	55527	133987
293	55713	133787
294	55926	133655
295	56107	133443
296	56288	133234
297	56469	133025
298	56652	132821
299	56839	132624
300	57023	132424
301	57242	132301
302	57421	132088
303	57604	131883
304	57786	131678
305	57970	131475
306	58155	131275
307	58338	131071
308	58518	130861
309	58704	130664
310	58882	130450
311	59064	130245
312	59245	130036
313	59426	129830
314	59608	129625
315	59796	129432
316	59981	129234
317	60163	129029
318	60348	128832
319	60544	128657
320	60726	128453
321	60910	128253
322	61091	128045
323	61274	127844
324	61454	127636
325	61643	127446
326	61826	127245
327	62007	127040
328	62194	126845
329	62376	126644
330	62558	126440
331	62740	126236
332	62926	126041
333	63107	125836
334	63296	125647
335	63476	125441
336	63660	125243
337	63845	125046
338	64032	124853
339	64214	124651
340	64408	124473
341	64592	124274
342	64777	124077
343	64963	123883
344	65143	123677
345	65327	123480
346	65511	123281
347	65692	123079
348	65877	122882
349	66060	122682
350	66241	122481
351	66423	122278
352	66603	122075
353	66786	121875
354	66969	121677
355	67151	121477
356	67333	121275
357	67518	121079
358	67701	120881
359	67884	120682
360	68071	120492
361	68255	120295
362	68438	120096
363	68621	119898
364	68800	119693
365	68982	119494
366	69165	119297
367	69345	119094
368	69533	118904
369	69717	118708
370	69901	118512
371	70085	118315
372	70266	118116
373	70450	117920
374	70633	117723
375	70817	117527
376	70999	117328
377	71186	117138
378	71369	116939
379	71551	116741
380	71731	116540
381	71915	116345
382	72094	116142
383	72306	115992
384	72507	115822
385	72697	115638
386	72880	115441
387	73063	115244
388	73245	115047
389	73427	114848
390	73609	114649
391	73838	114525
392	74022	114329
393	74208	114138
394	74394	113945
395	74574	113744
396	74759	113551
397	74940	113352
398	75124	113157
399	75311	112967
400	75496	112773
401	75674	112570
402	75857	112374
403	76035	112170
404	76217	111974
405	76402	111780
406	76584	111584
407	76771	111393
408	76953	111196
409	77137	111002
410	77319	110806
411	77506	110615
412	77688	110418
413	77867	110218
414	78051	110023
415	78236	109832
416	78419	109636
417	78607	109448
418	78789	109251
419	78975	109061
420	79157	108864
421	79337	108666
422	79525	108477
423	79706	108280
424	79889	108085
425	80071	107889
426	80254	107694
427	80439	107502
428	80627	107314
429	80809	107119
430	80993	106926
431	81176	106731
432	81358	106536
433	81546	106349
434	81734	106160
435	81921	105971
436	82104	105777
437	82289	105585
438	82473	105393
439	82656	105198
440	82838	105004
441	83024	104813
442	83208	104621
443	83390	104426
444	83572	104231
445	83757	104039
446	83951	103859
447	84138	103670
448	84318	103473
449	84502	103281
450	84690	103093
451	84875	102902
452	85058	102708
453	85248	102523
454	85434	102333
455	85620	102143
456	85846	102001
457	86039	101820
458	86236	101642
459	86415	101443
460	86599	101251
461	86783	101059
462	86966	100865
463	87150	100673
464	87332	100479
465	87519	100290
466	87704	100100
467	87889	99909
468	88071	99714
469	88255	99522
470	88437	99327
471	88614	99128
472	88803	98941
473	88981	98742
474	89163	98549
475	89342	98351
476	89523	98156
477	89708	97966
478	89929	97814
479	90125	97635
480	90309	97444
481	90493	97252
482	90676	97059
483	90865	96873
484	91044	96675
485	91231	96487
486	91413	96294
487	91596	96101
488	91778	95907
489	91958	95711
490	92139	95517
491	92320	95323
492	92503	95130
493	92686	94938
494	92869	94745
495	93048	94549
496	93232	94358
497	93416	94167
498	93600	93975
499	93783	93783
500	93970	93595
501	94151	93401
502	94332	93207
503	94513	93013
504	94695	92820
505	94876	92626
506	95062	92437
507	95241	92242
508	95427	92052
509	95610	91860
510	95795	91671
511	95975	91476
512	96162	91288
513	96342	91094
514	96528	90905
515	96711	90714
516	96923	90549
517	97111	90362
518	97291	90167
519	97476	89978
520	97701	89825
521	97883	89633
522	98067	89441
523	98252	89251
524	98437	89062
525	98620	88871
526	98804	88680
527	98984	88486
528	99170	88297
529	99353	88105
530	99537	87915
531	99717	87721
532	99898	87528
533	100080	87335
534	100266	87147
535	100450	86957
536	100633	86766
537	100819	86577
538	101001	86385
539	101182	86192
540	101367	86002
541	101550	85811
542	101734	85621
543	101917	85430
544	102099	85239
545	102282	85048
546	102471	84862
547	102666	84681
548	102850	84490
549	103032	84299
550	103212	84105
551	103399	83918
552	103582	83727
553	103769	83539
554	103949	83346
555	104136	83159
556	104320	82969
557	104506	82780
558	104688	82589
559	104875	82402
560	105058	82211
561	105242	82021
562	105424	81830
563	105652	81674
564	105834	81483
565	106019	81293
566	106206	81106
567	106388	80915
568	106575	80727
569	106757	80536
570	106941	80346
571	107123	80155
572	107306	79964
573	107487	79772
574	107670	79582
575	107855	79393
576	108037	79202
577	108216	79009
578	108400	78820
579	108590	78634
580	108812	78472
581	108998	78284
582	109180	78092
583	109363	77902
584	109545	77711
585	109727	77520
586	109907	77328
587	110092	77139
588	110274	76949
589	110459	76759
590	110642	76569
591	110830	76383
592	111015	76194
593	111201	76006
594	111381	75814
595	111564	75624
596	111751	75436
597	111931	75244
598	112118	75057
599	112302	74868
600	112482	74676
601	112668	74488
602	112852	74299
603	113033	74108
604	113219	73920
605	113401	73729
606	113585	73540
607	113768	73350
608	113950	73160
609	114133	72970
610	114317	72781
611	114498	72590
612	114698	72411
613	114895	72230
614	115075	72039
615	115259	71850
616	115437	71657
617	115617	71465
618	115798	71274
619	115986	71088
620	116165	70896
621	116353	70709
622	116534	70519
623	116720	70331
624	116902	70141
625	117094	69957
626	117279	69769
627	117459	69578
628	117641	69387
629	117823	69198
630	118010	69011
631	118193	68821
632	118378	68633
633	118561	68444
634	118745	68255
635	118926	68065
636	119163	67906
637	119344	67715
638	119526	67525
639	119713	67338
640	119898	67150
641	120091	66966
642	120314	66799
643	120498	66611
644	120682	66422
645	120864	66232
646	121046	66042
647	121233	65855
648	121415	65665
649	121600	65477
650	121781	65286
651	121963	65096
652	122157	64913
653	122337	64722
654	122516	64531
655	122699	64342
656	122878	64151
657	123060	63961
658	123248	63774
659	123428	63584
660	123613	63396
661	123795	63206
662	123982	63019
663	124174	62835
664	124359	62647
665	124544	62459
666	124725	62269
667	124906	62079
668	125089	61890
669	125281	61705
670	125461	61515
671	125647	61327
672	125829	61138
673	126013	60950
674	126198	60762
675	126388	60576
676	126575	60389
677	126790	60216
678	126973	60027
679	127161	59840
680	127347	59653
681	127529	59463
682	127713	59275
683	127893	59085
684	128105	58909
685	128292	58722
686	128473	58533
687	128659	58345
688	128883	58175
689	129064	57985
690	129244	57795
691	129447	57615
692	129631	57426
693	129814	57238
694	129997	57049
695	130183	56861
696	130368	56673
697	130551	56484
698	130735	56296
699	130916	56107
700	131097	55917
701	131281	55729
702	131474	55544
703	131654	55354
704	131838	55166
705	132022	54978
706	132207	54790
707	132394	54603
708	132579	54415
709	132759	54225
710	132945	54038
711	133124	53848
712	133316	53663
713	133508	53478
714	133691	53289
715	133879	53103
716	134095	52927
717	134288	52742
718	134470	52553
719	134665	52369
720	134846	52180
721	135029	51992
722	135213	51803
723	135394	51614
724	135583	51428
725	135764	51238
726	135947	51050
727	136132	50862
728	136314	50673
729	136494	50484
730	136690	50300
731	136872	50111
732	137056	49923
733	137239	49735
734	137424	49547
735	137609	49359
736	137796	49172
737	137977	48983
738	138199	48809
739	138389	48623
740	138572	48434
741	138762	48248
742	138972	48069
743	139156	47881
744	139342	47694
745	139526	47506
746	139713	47319
747	139896	47130
748	140080	46942
749	140279	46759
750	140462	46571
751	140645	46383
752	140830	46195
753	141011	46006
754	141199	45819
755	141383	45631
756	141570	45444
757	141756	45257
758	141939	45069
759	142125	44881
760	142306	44692
761	142487	44503
762	142669	44315
763	142853	44127
764	143036	43939
765	143220	43751
766	143407	43564
767	143592	43376
768	143771	43187
769	143962	43001
770	144145	42813
771	144327	42625
772	144512	42437
773	144692	42248
774	144878	42061
775	145059	41872
776	145244	41685
777	145426	41496
778	145607	41308
779	145789	41120
780	145981	40934
781	146163	40746
782	146383	40568
783	146574	40382
784	146759	40195
785	146948	40008
786	147130	39820
787	147329	39636
788	147542	39456
789	147728	39269
790	147907	39080
791	148091	38892
792	148272	38704
793	148454	38515
794	148635	38327
795	148821	38140
796	149003	37951
797	149185	37763
798	149367	37575
799	149556	37389
800	149736	37200
801	149919	37012
802	150105	36825
803	150286	36637
804	150471	36449
805	150653	36261
806	150833	36072
807	151014	35884
808	151197	35696
809	151379	35508
810	151560	35320
811	151738	35131
812	151918	34943
813	152099	34754
814	152283	34567
815	152493	34385
816	152677	34198
817	152860	34010
818	153045	33823
819	153238	33637
820	153418	33449
821	153603	33262
822	153785	33074
823	153966	32886
824	154150	32698
825	154382	32521
826	154565	32333
827	154752	32146
828	154933	31958
829	155117	31771
830	155302	31583
831	155484	31395
832	155666	31208
833	155849	31020
834	156032	30832
835	156213	30644
836	156396	30457
837	156575	30268
838	156762	30082
839	156941	29893
840	157124	29706
841	157319	29520
842	157502	29333
843	157687	29146
844	157872	28958
845	158057	28771
846	158240	28584
847	158435	28398
848	158617	28211
849	158798	28023
850	158985	27836
851	159164	27648
852	159356	27462
853	159548	27276
854	159729	27088
855	159956	26908
856	160136	26720
857	160318	26532
858	160503	26345
859	160683	26157
860	160866	25970
861	161048	25782
862	161230	25595
863	161413	25407
864	161601	25221
865	161782	25033
866	161965	24845
867	162145	24658
868	162330	24471
869	162525	24285
870	162706	24097
871	162891	23910
872	163073	23723
873	163254	23535
874	163438	23348
875	163648	23164
876	163841	22978
877	164027	22792
878	164209	22604
879	164394	22417
880	164577	22230
881	164782	22045
882	164962	21857
883	165145	21670
884	165328	21483
885	165510	21295
886	165705	21110
887	165887	20922
888	166074	20735
889	166254	20548
890	166438	20361
891	166621	20173
892	166814	19987
893	166994	19800
894	167176	19612
895	167359	19425
896	167540	19238
897	167723	19051
898	167911	18864
899	168094	18677
900	168276	18489
901	168457	18302
902	168638	18115
903	168860	17932
904	169043	17744
905	169228	17557
906	169409	17370
907	169592	17183
908	169775	16996
909	169962	16809
910	170170	16624
911	170356	16437
912	170534	16250
913	170715	16062
914	170909	15876
915	171091	15689
916	171277	15502
917	171459	15315
918	171654	15129
919	171837	14942
920	172041	14757
921	172253	14572
922	172440	14385
923	172621	14198
924	172805	14011
925	173000	13825
926	173180	13637
927	173368	13450
928	173550	13263
929	173734	13076
930	173915	12889
931	174104	12702
932	174286	12515
933	174469	12328
934	174648	12141
935	174831	11954
936	175024	11767
937	175252	11583
938	175439	11397
939	175620	11209
940	175803	11022
941	175986	10835
942	176180	10649
943	176362	10462
944	176541	10274
945	176723	10087
946	176905	9900
947	177087	9713
948	177271	9526
949	177453	9339
950	177635	9152
951	177813	8965
952	178005	8778
953	178199	8592
954	178395	8406
955	178586	8219
956	178775	8032
957	178966	7846
958	179155	7659
959	179353	7473
960	179537	7286
961	179734	7099
962	179916	6912
963	180097	6725
964	180291	6539
965	180473	6352
966	180663	6165
967	180850	5978
968	181032	5791
969	181220	5604
970	181405	5417
971	181583	5230
972	181764	5043
973	181945	4856
974	182128	4669
975	182310	4483
976	182502	4296
977	182684	4109
978	182921	3923
979	183229	3739
980	183468	3553
981	183666	3366
982	183853	3179
983	184072	2993
984	184262	2806
985	184445	2618
986	184629	2431
987	184809	2244
988	185034	2058
989	185216	1870
990	185398	1683
991	185588	1496
992	185768	1309
993	185956	1122
994	186135	935
995	186316	748
996	186497	561
997	186690	374
998	186869	187
999	187054	0
